220.84.185.202 #1.dns.noridev.moe
129.146.238.240 #cloud.samutz.com
tezoi.duckdns.org. #cloud.tezoi.com
82.64.29.93 #cloud.tezoi.com
104.16.248.249 #cloudflare-dns.com
104.16.249.249 #cloudflare-dns.com
137.74.29.10 #cloudns.bosco.ovh
138.236.128.100 #cluster-0.gac.edu
138.236.128.101 #cluster-1.gac.edu
vps225.brueggus.de. #coe01.dnscry.pt
104.192.102.132 #coe01.dnscry.pt
77.88.8.1 #common.dot.dns.yandex.net
77.88.8.8 #common.dot.dns.yandex.net
104.21.33.14 #commons.host
172.67.139.164 #commons.host
172.67.188.120 #comss.one
104.21.8.135 #comss.one
172.66.40.144 #comss.ru
172.66.43.112 #comss.ru
45.142.244.144 #console.carestyle.org
172.67.140.94 #crypto.sx
104.21.46.152 #crypto.sx
tetra.aeins.at. #cube.neubsi.at
95.216.74.102 #cube.neubsi.at
195.244.44.45 #cubedns.com
195.244.44.44 #cubedns.com
vps163.brueggus.de. #cvt01.dnscry.pt
104.128.190.108 #cvt01.dnscry.pt
94.140.14.49 #d.adguard-dns.com
103.181.143.111 #d.apemlegit.my.id
43.240.12.114 #d2.shabi.icu
88.88.249.145 #dandelionsprout.asuscomm.com
116.251.216.207 #darkness.is.my.waifu.cz
129.153.224.48 #dart.kpsn.org
104.21.49.145 #darya.persiannit.net
172.67.163.170 #darya.persiannit.net
62.133.35.15 #de-dus.doh.sb
147.78.178.174 #de-fra.doh.sb
147.78.178.170 #de-fra.doh.sb
147.78.178.173 #de-fra.doh.sb
147.78.178.172 #de-fra.doh.sb
147.78.178.171 #de-fra.doh.sb
2.58.59.12 #de.teradns.org
130.225.244.166 #deic-lgb.anycast.censurfridns.dk
130.225.244.166 #deic-lgb.anycast.uncensoreddns.org
130.226.161.34 #deic-ore.anycast.censurfridns.dk
130.226.161.34 #deic-ore.anycast.uncensoreddns.org
103.86.96.108 #dns-cybersec.nordthreatprotection.com
103.86.99.108 #dns-cybersec.nordthreatprotection.com
167.235.236.107 #dns-doh-no-safe-search.dnsforfamily.com
167.235.236.107 #dns-doh.dnsforfamily.com
167.235.236.107 #dns-dot.dnsforfamily.com
94.140.14.15 #dns-family.adguard.com
94.140.15.16 #dns-family.adguard.com
postalsv1.mkid.top. #dns-fr-psv1.cloudsides.com
163.172.68.245 #dns-fr-psv1.cloudsides.com
15.197.192.55 #dns-free.link
103.86.96.107 #dns-malwaresec.nordthreatprotection.com
103.86.99.107 #dns-malwaresec.nordthreatprotection.com
9.9.9.10 #dns-nosec.quad9.net
ovh.panszelescik.pl. #dns-ovh.panszelescik.pl
51.38.131.12 #dns-ovh.panszelescik.pl
198.244.189.180 #dns-privacy.puregeni.us
81.187.221.24 #dns-tls.bitwiseshift.net
94.140.14.141 #dns-unfiltered.adguard.com
94.140.14.140 #dns-unfiltered.adguard.com
152.69.208.19 #dns.0ooo.icu
fra-oracle-1.hosts.dada.li. #dns.0x55.net
130.61.92.162 #dns.0x55.net
101.42.156.248 #dns.23-4.cn
43.134.201.120 #dns.233py.com
172.67.206.90 #dns.240527.xyz
104.21.15.169 #dns.240527.xyz
150.230.197.227 #dns.354688.xyz
mail.4-the.win. #dns.4-the.win
195.90.217.156 #dns.4-the.win
135.148.97.224 #dns.52306.org
89.234.183.32 #dns.7sec.com.br
64.176.188.144 #dns.7vpn.com
149.88.64.107 #dns.886886886.xyz
20.239.160.119 #dns.888654.xyz
172.104.175.59 #dns.9999.sg
195.201.131.183 #dns.a47.me
217.169.20.22 #dns.aa.net.uk
217.169.20.23 #dns.aa.net.uk
194.34.232.201 #dns.abdullahabas.de
94.140.14.14 #dns.adguard-dns.com
94.140.15.15 #dns.adguard-dns.com
94.140.14.14 #dns.adguard.com
94.140.15.15 #dns.adguard.com
35.232.252.250 #dns.adrianlam.com
18.216.143.126 #dns.aerro.in
82.180.145.196 #dns.albony.xyz
223.6.6.6 #dns.alidns.com
223.5.5.5 #dns.alidns.com
51.178.29.75 #dns.alloxr.info
138.68.80.228 #dns.almir1904.eu
142.132.237.65 #dns.alvosec.com
142.132.230.65 #dns.alvosec.com
135.181.83.162 #dns.andrewnw.xyz
dns-prod-alb-194669935.us-east-1.elb.amazonaws.com. #dns.api.globus.org
52.4.243.22 #dns.api.globus.org
34.239.21.83 #dns.api.globus.org
3.89.240.196 #dns.api.globus.org
integration.dnsteam.globuscs.info. #dns.api.integration.globuscs.info
dns-integration-alb-618104398.us-east-1.elb.amazonaws.com. #dns.api.integration.globuscs.info
54.84.168.41 #dns.api.integration.globuscs.info
54.172.221.145 #dns.api.integration.globuscs.info
18.232.242.84 #dns.api.integration.globuscs.info
preview.dnsteam.globuscs.info. #dns.api.preview.globus.org
dns-preview-alb-541438575.us-east-1.elb.amazonaws.com. #dns.api.preview.globus.org
44.209.99.204 #dns.api.preview.globus.org
3.225.161.23 #dns.api.preview.globus.org
18.204.68.112 #dns.api.preview.globus.org
d2bphvjyj895l0.cloudfront.net. #dns.api.rackspacecloud.com
3.162.125.2 #dns.api.rackspacecloud.com
3.162.125.117 #dns.api.rackspacecloud.com
3.162.125.16 #dns.api.rackspacecloud.com
3.162.125.115 #dns.api.rackspacecloud.com
dns-sandbox-alb-275183166.us-east-1.elb.amazonaws.com. #dns.api.sandbox.globuscs.info
52.71.177.220 #dns.api.sandbox.globuscs.info
44.208.214.156 #dns.api.sandbox.globuscs.info
54.84.64.231 #dns.api.sandbox.globuscs.info
staging.dnsteam.globuscs.info. #dns.api.staging.globuscs.info
dns-staging-alb-849259019.us-east-1.elb.amazonaws.com. #dns.api.staging.globuscs.info
3.218.185.136 #dns.api.staging.globuscs.info
18.213.102.146 #dns.api.staging.globuscs.info
54.85.10.8 #dns.api.staging.globuscs.info
test.dnsteam.globuscs.info. #dns.api.test.globuscs.info
dns-test-alb-2081756747.us-east-1.elb.amazonaws.com. #dns.api.test.globuscs.info
107.23.102.27 #dns.api.test.globuscs.info
18.205.248.249 #dns.api.test.globuscs.info
35.171.208.107 #dns.api.test.globuscs.info
45.67.81.23 #dns.aquilenet.fr
114.41.240.88 #dns.ares-taiwan.com
217.197.91.153 #dns.artikel10.org
204.216.154.80 #dns.asterimoon.com
18.140.58.46 #dns.azsopro.net
162.19.129.20 #dns.b33.space
193.112.16.45 #dns.b612.me
193.112.107.80 #dns.b612.me
106.55.44.79 #dns.b612.me
139.199.163.65 #dns.b612.me
43.134.121.67 #dns.baishiyuan.cn
primary-cname.bebasid.com. #dns.bebasid.com
103.87.68.194 #dns.bebasid.com
193.190.198.16 #dns.belnet.be
193.190.182.53 #dns.belnet.be
158.101.150.16 #dns.benpro.fr
213.167.231.6 #dns.beta.gandi.net
nvi-dns.bitdefender.net. #dns.bitdefender.net
35.199.57.35 #dns.bitdefender.net
63.32.212.172 #dns.bitservices.io
18.200.70.220 #dns.bitservices.io
193.180.80.1 #dns.blokada.org
193.180.80.2 #dns.blokada.org
104.200.18.74 #dns.bobstrecansky.com
104.244.72.39 #dns.bofh.in
157.90.124.62 #dns.brahma.world
185.244.173.116 #dns.bw.i81.ru
66.81.203.134 #dns.caksono.com
66.81.203.9 #dns.caksono.com
66.81.203.199 #dns.caksono.com
34.75.163.154 #dns.carson-family.com
104.238.154.123 #dns.carter.me
61.222.113.97 #dns.ceai.com.tw
home.chadeyron.fr. #dns.chadeyron.fr
176.164.130.129 #dns.chadeyron.fr
54.38.32.102 #dns.charraud.eu
keeflix.chenu.ch. #dns.chenu.ch
141.145.202.228 #dns.chenu.ch
168.138.50.5 #dns.chromeina.top
crd.circl.lu. #dns.circl.lu
185.194.94.71 #dns.circl.lu
217.160.68.68 #dns.clanless.ovh
94.23.71.64 #dns.clanto.cloud
152.67.124.40 #dns.cloud88.com.au
167.235.50.40 #dns.cloudfiction.eu
104.16.132.229 #dns.cloudflare.com
104.16.133.229 #dns.cloudflare.com
207.154.238.154 #dns.cloudtrust.solutions
199.58.83.33 #dns.cmrg.net
85.214.236.96 #dns.colorfreedom.org
65.108.87.118 #dns.comss.one
162.55.169.60 #dns.comss.one
77.68.50.239 #dns.connect.fail
89.233.105.6 #dns.cryptomize.com
111.235.222.100 #dns.cwlys.com
172.67.154.61 #dns.cynthialabs.net
104.21.4.234 #dns.cynthialabs.net
pixie.porkbun.com. #dns.d4d.moe
44.227.76.166 #dns.d4d.moe
44.227.65.245 #dns.d4d.moe
144.24.143.144 #dns.d94.xyz
173.230.148.127 #dns.d96.info
104.21.84.240 #dns.daemon.za.net
172.67.198.229 #dns.daemon.za.net
125.229.161.13 #dns.david888.com
116.203.115.225 #dns.daw.dev
78.47.212.211 #dns.decloudus.com
164.92.156.71 #dns.dekedin.me
18.254.96.167 #dns.dev-umbrellagov.com
18.252.156.1 #dns.dev-umbrellagov.com
172.67.162.8 #dns.dgea.fr
104.21.42.126 #dns.dgea.fr
185.95.218.42 #dns.digitale-gesellschaft.ch
185.95.218.43 #dns.digitale-gesellschaft.ch
94.130.135.203 #dns.digitalsize.net
45.86.125.58 #dns.dnshome.de
0.0.0.0 #dns.dnsoverhttps.net
149.248.217.117 #dns.dnswarden.com
118.171.172.9 #dns.doh.best
152.67.22.230 #dns.dotnet.win
209.208.26.145 #dns.dyn1.de
92.223.109.19 #dns.east.comss.one
eddi.usgovtrafficmanager.net. #dns.eddi.net
72.18.77.77 #dns.eddi.net
138.2.29.144 #dns.edison42.dev
45.33.60.119 #dns.elemental.software
140.238.41.197 #dns.ellichua.com
35.239.47.122 #dns.emiliyan.com
38.83.113.96 #dns.enzonix.com
5.250.191.53 #dns.esnube.es
dns.eu-frankfurt-1.oci.oraclecloud.com. #dns.eu-frankfurt-1.oraclecloud.com
dns.eu-frankfurt-1.oci.oraclecloud.net. #dns.eu-frankfurt-1.oraclecloud.com
130.61.0.178 #dns.eu-frankfurt-1.oraclecloud.com
85.183.142.13 #dns.expert
152.70.113.139 #dns.extrawdw.net
54.254.140.187 #dns.ezyss.id
185.69.161.122 #dns.fancyorg.at
132.226.205.6 #dns.filipccz.eu
d4yge1fn4wr.d.firewalla.org. #dns.flwagners.com
38.186.38.190 #dns.flwagners.com
43.154.154.162 #dns.flymc.cc
vps-33e5a7f3.vps.ovh.us. #dns.freyja.pw
15.204.209.29 #dns.freyja.pw
95.216.99.249 #dns.froth.zone
167.179.78.123 #dns.fullaccesstointernet.jp.eu.org
202.61.197.122 #dns.furrydns.de
172.234.222.138 #dns.futuredns.me
172.234.222.143 #dns.futuredns.me
104.26.15.167 #dns.gamban.com
172.67.75.64 #dns.gamban.com
104.26.14.167 #dns.gamban.com
103.141.154.3 #dns.gi.co.id
forum.ginovs.nl. #dns.ginovs.nl
5.79.70.195 #dns.ginovs.nl
202.70.133.124 #dns.gnb09.id
43.218.78.1 #dns.goldplate.org
8.8.4.4 #dns.google
8.8.8.8 #dns.google
8.8.8.8 #dns.google.com
8.8.4.4 #dns.google.com
188.68.40.234 #dns.grqu.de
35.244.235.81 #dns.guard.io
130.162.160.232 #dns.ha-dvin.pp.ua
hahnjo.de. #dns.hahnjo.de
193.30.122.186 #dns.hahnjo.de
104.21.55.250 #dns.hanahira.dev
172.67.174.210 #dns.hanahira.dev
188.192.52.242 #dns.hanmey.de
35.209.190.107 #dns.henek.ovh
168.95.1.1 #dns.hinet.net
168.95.192.1 #dns.hinet.net
172.232.185.183 #dns.horcrux.vip
46.226.109.82 #dns.hostux.net
46.226.110.211 #dns.hostux.net
46.226.108.173 #dns.hostux.net
150.230.203.199 #dns.hotta.page
152.70.102.14 #dns.hugo0.moe
120.24.213.35 #dns.hujiayucc.cn
161.97.142.194 #dns.huseynov.work
129.150.45.4 #dns.huyhoangit.net
192.46.232.110 #dns.hypercute.eu
193.17.92.42 #dns.iamninja.ru
104.21.80.215 #dns.ian.rocks
172.67.154.92 #dns.ian.rocks
116.202.234.21 #dns.ihaveacloud.com
47.107.121.125 #dns.ikataruto.com
172.67.213.13 #dns.iki.my.id
104.21.61.188 #dns.iki.my.id
47.109.85.197 #dns.imaicool.com
94.16.111.86 #dns.immanuelschaffer.de
hz1.h.indust.me. #dns.indust.me
115.29.235.168 #dns.indust.me
96.126.98.101 #dns.indybanipal.com
70.34.243.158 #dns.interhub.cc
37.114.32.8 #dns.internal.hosmatic.com
111.7.223.98 #dns.ipv6dns.com
158.69.158.186 #dns.islandnet.com
152.70.119.182 #dns.janl.eu
64.110.74.10 #dns.jinwoo.dev
54.233.155.240 #dns.joaofidelix.com.br
95.179.152.253 #dns.joey01245.nl
104.21.69.35 #dns.jstockley.com
172.67.203.156 #dns.jstockley.com
114.33.26.67 #dns.jundev.org
158.179.21.238 #dns.justinnetworkingsolutions.com
37.187.24.84 #dns.k3nny.fr
109.173.161.127 #dns.kamilszczepanski.com
106.51.105.151 #dns.karfamily.net
188.68.33.96 #dns.karl.one
51.77.149.139 #dns.kawa.tf
114.33.130.84 #dns.keke125.com
195.201.39.149 #dns.kerekes.xyz
37.120.183.220 #dns.kernel-error.de
kudns.kescher.at. #dns.kescher.at
45.129.181.164 #dns.kescher.at
178.162.231.57 #dns.keweon.center
178.162.228.115 #dns.keweon.center
178.162.228.11 #dns.keweon.center
178.162.231.59 #dns.keweon.center
178.162.228.53 #dns.keweon.center
178.162.228.17 #dns.keweon.center
178.162.228.42 #dns.keweon.center
178.162.231.91 #dns.keweon.center
178.162.231.73 #dns.keweon.center
178.162.228.51 #dns.keweon.center
178.162.228.44 #dns.keweon.center
178.162.228.117 #dns.keweon.center
178.162.228.12 #dns.keweon.center
168.138.198.14 #dns.koala.us.to
82.118.21.196 #dns.korzhyk.pp.ua
172.67.184.76 #dns.kosan.moe
104.21.43.188 #dns.kosan.moe
143.244.211.72 #dns.kugoapps.com
185.47.221.200 #dns.kukal.cz
185.195.69.126 #dns.l337.site
213.155.91.68 #dns.lars-lehmann.net
134.255.247.23 #dns.lars-lehmann.net
37.228.132.139 #dns.lars-lehmann.net
213.95.149.187 #dns.lars-lehmann.net
109.171.20.6 #dns.lashes-brow.ru
109.236.120.2 #dns.levonet.sk
109.236.119.2 #dns.levonet.sk
213.226.127.98 #dns.lgprk.com
140.238.42.77 #dns.linkr.ninja
172.67.216.46 #dns.lista.my.id
104.21.45.153 #dns.lista.my.id
3.33.242.199 #dns.lobbygod.com
15.197.238.60 #dns.lobbygod.com
dedicated.lvolland.fr. #dns.lvolland.fr
162.19.95.28 #dns.lvolland.fr
142.4.100.219 #dns.maolaohei.xyz
84.32.84.33 #dns.mathewakhil.online
62.210.6.110 #dns.maybe.icu
168.138.28.223 #dns.meeo.win
167.60.248.94 #dns.melalandia.tk
104.21.24.176 #dns.mestdag.fr
172.67.219.220 #dns.mestdag.fr
80.249.144.245 #dns.mihanentalpo.me
89.116.247.119 #dns.mikeliu.org
149.28.144.189 #dns.mikrotikrumahan.my.id
212.227.237.22 #dns.mo0on15.com
argon.molinero.dev. #dns.molinero.dev
138.201.92.216 #dns.molinero.dev
138.2.123.220 #dns.moonssif.com
193.148.249.126 #dns.moulticast.net
178.253.23.166 #dns.msxnet.ru
194.242.2.2 #dns.mullvad.net
46.38.234.60 #dns.murgi.de
42.192.89.119 #dns.muxinghe.cn
40.83.97.172 #dns.mzrme.cn
74.208.208.172 #dns.narl.app
185.17.3.188 #dns.nas-server.ru
81.187.201.92 #dns.neilzone.co.uk
95.216.74.89 #dns.neubsi.at
dnstls.neutopia.org. #dns.neutopia.org
89.234.186.112 #dns.neutopia.org
steering.nextdns.io. #dns.nextdns.io
170.39.224.134 #dns.nextdns.io
213.227.173.235 #dns.nextdns.io
158.101.157.9 #dns.nhtsky.com
103.150.116.100 #dns.ningkelle.id
95.215.19.53 #dns.njal.la
213.136.69.82 #dns.norvig.dk
78.47.8.237 #dns.notjakob.com
us.novali.date. #dns.novali.date
23.94.211.166 #dns.novali.date
51.159.67.129 #dns.novg.net
51.158.147.92 #dns.novg.net
188.40.244.189 #dns.npe.bz
65.108.150.50 #dns.npsolution.it
80.90.179.4 #dns.nullgate.net
152.70.156.129 #dns.ofdoom.net
129.151.162.166 #dns.oliviertv.co.za
208.67.222.222 #dns.opendns.com
208.67.220.220 #dns.opendns.com
dns1.oryxlabs.com. #dns.oryxlabs.com
45.152.134.134 #dns.oryxlabs.com
45.152.135.135 #dns.oryxlabs.com
217.160.156.119 #dns.oszx.co
149.104.24.210 #dns.ours.luxe
dns.filter.cdn.ovpn.bond. #dns.ovpn.bond
172.232.29.43 #dns.ovpn.bond
172.234.212.136 #dns.ovpn.bond
104.21.32.35 #dns.paesa.es
172.67.182.154 #dns.paesa.es
dns-ovh.panszelescik.pl. #dns.panszelescik.pl
ovh.panszelescik.pl. #dns.panszelescik.pl
51.38.131.12 #dns.panszelescik.pl
172.233.59.98 #dns.pccoach.nl
103.143.170.180 #dns.pernika.net
vps-relay.pesaventofilippo.com. #dns.pesaventofilippo.com
158.180.239.8 #dns.pesaventofilippo.com
45.79.33.43 #dns.phillipjberry.net
103.29.215.236 #dns.pnh.my.id
dnsvps.porteii.com. #dns.porteii.com
140.238.65.73 #dns.porteii.com
85.215.66.120 #dns.pragmasec.nl
176.132.213.102 #dns.privado.ovh
162.14.21.178 #dns.pub
162.14.21.56 #dns.pub
54.224.16.96 #dns.pumpkinvrar.com
9.9.9.9 #dns.quad9.net
149.112.112.112 #dns.quad9.net
46.38.235.219 #dns.rafn.is
172.67.214.227 #dns.rayanbab.com
104.21.16.173 #dns.rayanbab.com
185.245.97.150 #dns.rbn.gr
192.119.93.224 #dns.reckoningslug.name
dns.repinger.com. #dns.repinger.my.id
103.235.73.244 #dns.repinger.my.id
144.22.212.131 #dns.retakecs.com
rin.sh. #dns.rin.sh
116.203.72.235 #dns.rin.sh
91.233.189.164 #dns.ronc.ru
69.117.89.179 #dns.rootlab.top
172.66.41.34 #dns.rotunneling.net
172.66.42.222 #dns.rotunneling.net
175.24.154.66 #dns.rubyfish.cn
70.253.80.157 #dns.sarak.as
70.253.80.158 #dns.sarak.as
52.154.75.179 #dns.sarilouis.com
185.222.222.222 #dns.sb
128.199.154.79 #dns.scapetical.com
78.47.91.55 #dns.scarx.net
87.106.71.58 #dns.schlagheck.berlin
94.23.71.64 #dns.scuola.org
194.163.165.190 #dns.seiffert.me
lab.sellan.fr. #dns.sellan.fr
lab-1.sellan.fr. #dns.sellan.fr
78.194.186.17 #dns.sellan.fr
91.186.198.129 #dns.serdcebolit.ru
paimon.sev.monster. #dns.sev.monster
168.235.111.72 #dns.sev.monster
178.22.122.100 #dns.shecan.ir
metis.sheggi.ch. #dns.sheggi.ch
116.203.112.223 #dns.sheggi.ch
146.56.52.205 #dns.shimul.me
172.67.137.18 #dns.silen.org
104.21.62.158 #dns.silen.org
104.21.53.69 #dns.silentlybren.com
172.67.209.173 #dns.silentlybren.com
135.125.181.234 #dns.simplylinux.ch
85.214.48.241 #dns.siry.de
219.78.87.164 #dns.sitdns.com
5.2.72.7 #dns.skrep.eu
149.154.68.6 #dns.skrep.in
203.29.240.52 #dns.slinkyman.net
46.165.252.147 #dns.smartguard.io
5.161.191.104 #dns.smartguard.io
103.161.196.196 #dns.spil.co.id
server.spirio.fr. #dns.spirio.fr
54.37.234.80 #dns.spirio.fr
151.80.145.143 #dns.sstomp.nl
45.79.102.67 #dns.startupstack.tech
